#{"t_start": 1734312558.9648366, "env_id": "LunarLander-v3"}
r,l,t
-48.571985,569,279.088477
217.010677,365,279.493965
217.806745,592,280.244334
25.312893,162,280.360661
-67.46321,1000,282.702661
211.363513,417,283.18623
-3.576473,300,283.463514
127.776548,571,283.982828
213.294643,432,285.275868
203.982188,444,285.805945
220.468581,372,286.129475
224.198761,459,286.642101
228.12586,417,287.097143
16.32292,241,288.082377
280.612469,397,288.479737
60.320777,1000,290.169718
225.746708,467,290.763943
168.0348,458,292.07772
225.978239,521,292.79985
2.268224,263,293.018018
216.008281,521,293.661077
222.362809,440,294.92274
211.226202,388,295.321259
0.149654,284,295.558048
225.60315,608,296.291846
195.728433,623,296.948283
-37.334977,318,298.063545
239.512469,415,298.531095
214.46819,534,299.31784
189.082319,512,299.936963
214.058333,405,301.166379
-8.221505,314,301.443453
224.59317,389,301.869281
220.13713,481,302.542783
213.935467,367,302.900553
229.903095,420,304.111083
229.584573,434,304.602562
230.376358,365,304.985337
250.017162,349,305.259096
233.714499,401,305.653933
243.551447,411,306.10823
261.005091,598,307.537638
248.381802,397,307.971126
237.61846,379,308.302984
225.553115,367,308.68886
122.717368,1000,310.923017
1.023983,290,311.15833
242.020849,518,311.778461
221.222785,316,312.044777
248.702611,351,313.189662
-13.574084,279,313.40687
178.07285,675,314.483449
222.807008,276,314.717914
-9.112029,223,314.89292
251.579738,347,315.213641
-1.005926,325,316.303526
241.18937,345,316.620904
223.186477,361,316.978167
231.408221,350,317.322109
233.334921,326,317.625797
253.804412,283,317.890812
-8.06791,319,318.977559
182.948213,438,319.39222
253.428918,348,319.715281
241.269169,319,320.030988
251.854345,406,320.469587
264.775879,288,320.728514
-13.051523,183,321.667676
268.117378,334,321.996304
243.48914,322,322.295038
18.882638,220,322.47188
249.52068,294,322.742494
244.577311,345,323.092166
228.231795,309,323.412587
47.937102,209,323.572531
234.737391,338,324.681762
59.331475,244,324.877346
249.889012,341,325.206899
38.814967,259,325.420921
270.127707,313,325.685309
32.262804,296,325.940989
232.704441,303,327.011558
261.338582,325,327.308278
25.515519,257,327.51148
11.42849,231,327.692544
252.777699,300,327.951968
230.951908,370,328.313534
220.763927,296,328.576044
227.966181,304,329.648873
261.302565,334,329.990056
246.831524,462,330.549621
230.004284,938,331.354647
248.975765,262,332.393263
246.374867,340,332.713126
268.120495,349,333.028912
14.02948,245,333.218239
-9.985897,234,333.412404
263.815784,776,334.190323
-14.786236,301,335.244735
290.515405,535,335.896948
228.777208,342,336.245082
259.981476,297,336.504526
43.248888,281,336.721255
231.158479,318,337.046719
246.298356,311,338.143654
250.5655,332,338.455188
0.059907,299,338.700536
213.180568,433,339.186429
214.727686,334,339.533496
58.046211,1000,341.539987
272.559312,297,341.822018
259.972659,338,342.138008
47.478981,219,342.304123
264.660279,276,342.530521
268.409939,377,343.734415
252.306857,318,344.004866
268.775241,418,344.427252
249.260891,347,344.720291
264.703817,305,344.958355
19.392492,271,345.176505
264.693548,277,345.415216
27.357748,184,346.352891
275.978297,350,346.649487
33.071789,235,346.838715
28.083126,244,347.038424
268.45785,368,347.367536
-10.61104,177,347.492948
51.761017,266,347.708793
34.618389,273,348.731736
238.871929,322,348.998907
277.168885,242,349.188888
252.236033,290,349.44398
280.628116,248,349.64261
133.591111,1000,351.473191
228.325547,637,352.136193
8.35512,266,352.350071
3.743245,232,352.525602
