#{"t_start": 1737980080.6667604, "env_id": "LunarLanderTargetPos"}
r,l,t
253.83335,400,130.828887
-100.0,1,130.830292
219.853793,410,131.051419
-100.0,1,131.052649
-100.0,1,131.053704
213.331815,436,131.283027
230.953836,623,132.427138
-100.0,1,132.428542
-100.0,1,132.42968
-100.0,1,132.430695
-100.0,1,132.431686
266.827943,460,132.683293
-100.0,1,132.684506
252.936804,480,132.948246
-100.0,1,132.949615
-100.0,1,132.950697
-100.0,1,132.951707
230.075332,393,133.166441
239.314069,419,134.204813
239.510751,651,134.557481
-100.0,1,134.558935
-100.0,1,134.559968
-100.0,1,134.560974
-100.0,1,134.561967
225.87334,507,134.834256
230.78789,417,135.057751
253.087045,388,135.265655
-100.0,1,135.267016
-100.0,1,135.268083
264.222538,463,136.328972
-100.0,1,136.330197
241.165435,362,136.525989
16.726713,252,136.66132
2.81293,243,136.78962
-100.0,1,136.790798
-100.0,1,136.791869
-100.0,1,136.792892
236.087715,370,136.991395
-100.0,1,136.992765
-100.0,1,136.993871
276.65133,488,138.074983
259.241945,482,138.340882
-100.0,1,138.342225
228.780259,450,138.589128
-27.614196,204,138.700112
-20.869593,193,138.804263
265.180442,473,139.067261
39.660255,284,140.060854
218.315,377,140.264908
230.386176,439,140.500633
257.170105,342,140.685493
-100.0,1,140.686888
229.34689,445,140.931693
291.989395,313,141.105721
285.263769,461,142.214127
-100.0,1,142.215301
213.700054,574,142.523182
-100.0,1,142.524593
-100.0,1,142.525674
-100.0,1,142.526642
237.529593,440,142.763356
-100.0,1,142.764767
-100.0,1,142.76588
250.586398,450,143.012327
-100.0,1,143.013765
-100.0,1,143.014808
-100.0,1,143.015749
-100.0,1,143.016714
-100.0,1,143.01764
-100.0,1,143.018627
267.152176,443,144.08323
272.355486,346,144.274349
32.314334,263,144.418365
229.847516,385,144.624337
277.966774,337,144.8031
286.011396,465,145.864449
272.204299,357,146.056313
-100.0,1,146.057518
-100.0,1,146.05859
-100.0,1,146.059572
273.896885,461,146.310715
